date_time,gps_latitude,gps_longitude,gps_speed,gps_altitude,gps_angle,compass_heading,depth_distance,winch_position,Temperature,Conductivity,pH,depth,Turbidity,Chlorophyll,DO,Phycocyanin,
08/26/21 09:01:55,45.1565617,29.6589083,0.69,-10.90,205.83,34.00,1812.00,0.00,24.34,284.19,3.86,10.32,1.00,2.53,40.03,-0.19,
08/26/21 09:01:56,45.1565467,29.6589250,0.74,-8.30,194.11,35.00,1900.00,0.00,24.34,284.19,3.86,10.32,1.00,2.50,40.03,-0.19,
08/26/21 09:01:57,45.1565350,29.6589350,0.75,-6.90,188.64,35.00,2195.00,0.00,24.34,284.20,3.86,10.32,0.99,2.46,40.03,-0.19,
08/26/21 09:01:58,45.1565250,29.6589400,0.80,-6.00,181.97,35.00,1941.00,0.00,24.34,284.21,3.86,10.32,0.98,2.39,40.03,-0.19,
08/26/21 09:01:59,45.1565200,29.6589400,0.77,-5.70,183.66,35.00,1996.00,0.00,24.34,284.22,3.86,10.32,0.99,2.36,40.03,-0.19,
08/26/21 09:02:00,45.1565167,29.6589417,0.78,-5.40,180.07,35.00,1965.00,0.00,24.34,284.22,3.86,10.32,0.97,2.38,40.03,-0.19,
08/26/21 09:02:01,45.1565117,29.6589467,0.78,-5.20,173.39,35.00,1981.00,0.00,24.34,284.22,3.86,10.32,0.97,2.42,40.03,-0.19,
08/26/21 09:02:02,45.1565167,29.6589517,0.75,-5.00,161.75,34.00,4008.00,0.00,24.34,284.22,3.86,10.32,0.97,2.42,40.03,-0.19,
08/26/21 09:02:03,45.1565583,29.6589633,0.43,-3.50,137.03,35.00,4059.00,0.00,24.34,284.22,3.86,10.32,0.96,2.47,40.03,-0.20,
08/26/21 09:02:04,45.1565783,29.6590000,0.49,-0.80,103.34,34.00,4059.00,0.00,24.34,284.22,3.86,10.32,0.97,2.51,40.04,-0.20,
08/26/21 09:02:05,45.1565833,29.6590133,0.27,0.80,101.55,35.00,4524.00,0.00,24.34,284.22,3.86,10.32,0.97,2.56,40.04,-0.21,
08/26/21 09:02:06,45.1565833,29.6590250,0.32,2.40,109.31,35.00,5000.00,0.00,24.34,284.23,3.86,10.32,0.98,2.59,40.04,-0.22,
08/26/21 09:02:07,45.1565850,29.6590317,0.36,3.40,94.57,35.00,5457.00,0.00,24.34,284.23,3.86,10.32,0.98,2.65,40.04,-0.22,
08/26/21 09:02:08,45.1565833,29.6590333,0.33,4.00,105.42,34.00,6157.00,0.00,24.34,284.23,3.86,10.32,0.98,2.71,40.04,-0.22,
08/26/21 09:02:09,45.1565817,29.6590350,0.24,4.80,116.38,35.00,6611.00,0.00,24.34,284.23,3.86,10.32,0.98,2.77,40.03,-0.22,
08/26/21 09:02:10,45.1565750,29.6590333,0.20,5.50,157.05,35.00,7174.00,0.00,24.34,284.22,3.86,10.32,0.98,2.83,40.03,-0.21,
08/26/21 09:02:11,45.1565683,29.6590317,0.14,6.00,153.79,35.00,1653.00,0.00,24.34,284.22,3.86,10.32,0.98,2.87,40.03,-0.22,
08/26/21 09:02:12,45.1565633,29.6590333,0.11,6.60,132.34,34.00,1734.00,0.00,24.34,284.21,3.86,10.32,0.99,2.90,40.03,-0.23,
